image_index,turns,task_type,instructions,format_instructions,bg_consistency,unchanged_objects,available_objects,all_objects
7,1,['subject_remove'],['Remove wool white sheep'],['Remove [wool white sheep]'],True,['metal rusty fence'],['metal rusty fence'],"['wool white sheep', 'metal rusty fence']"
7,2,"['subject_remove', 'text_change']","['Remove wool white sheep', ""Add text 'LAMB' on the image""]","['Remove [wool white sheep]', ""Add text '[LAMB]' on the image""]",True,['metal rusty fence'],['metal rusty fence'],"['wool white sheep', 'metal rusty fence', 'text']"
7,3,"['subject_remove', 'text_change', 'material_alter']","['Remove wool white sheep', ""Add text 'LAMB' on the image"", 'Change the material of metal rusty fence to wood']","['Remove [wool white sheep]', ""Add text '[LAMB]' on the image"", 'Change the material of [metal rusty fence] to [wood]']",True,[],['wood rusty fence'],"['wool white sheep', 'metal rusty fence', 'text', 'wood rusty fence']"
8,1,['color_alter'],['Change the color of cloth dark shirt to blue'],['Change the color of [cloth dark shirt] to [blue]'],True,['brown horse'],"['brown horse', 'blue cloth dark shirt']","['brown horse', 'cloth dark shirt', 'blue cloth dark shirt']"
8,2,"['color_alter', 'subject_replace']","['Change the color of cloth dark shirt to blue', 'Replace blue cloth dark shirt with leather jacket']","['Change the color of [cloth dark shirt] to [blue]', 'Replace [blue cloth dark shirt] with [leather jacket]']",True,['brown horse'],"['brown horse', 'leather jacket']","['brown horse', 'cloth dark shirt', 'blue cloth dark shirt', 'leather jacket']"
8,3,"['color_alter', 'subject_replace', 'subject_add']","['Change the color of cloth dark shirt to blue', 'Replace blue cloth dark shirt with leather jacket', 'Add saddle on the left of leather jacket']","['Change the color of [cloth dark shirt] to [blue]', 'Replace [blue cloth dark shirt] with [leather jacket]', 'Add [saddle] on the [left] of [leather jacket]']",True,['brown horse'],"['brown horse', 'leather jacket', 'saddle']","['brown horse', 'cloth dark shirt', 'blue cloth dark shirt', 'leather jacket', 'saddle']"
9,1,['background_change'],"['Change the background to harbor, remain the wooden green boat, metal rusty boat unchanged']",['Change the background to [harbor]'],False,"['wooden green boat', 'metal rusty boat']","['wooden green boat', 'metal rusty boat']","['wooden green boat', 'metal rusty boat']"
9,2,"['background_change', 'text_change']","['Change the background to harbor, remain the wooden green boat, metal rusty boat unchanged', ""Add text 'BOATS' on the image""]","['Change the background to [harbor]', ""Add text '[BOATS]' on the image""]",False,"['wooden green boat', 'metal rusty boat']","['wooden green boat', 'metal rusty boat']","['wooden green boat', 'metal rusty boat', 'text']"
9,3,"['background_change', 'text_change', 'material_alter']","['Change the background to harbor, remain the wooden green boat, metal rusty boat unchanged', ""Add text 'BOATS' on the image"", 'Change the material of metal rusty boat to wood']","['Change the background to [harbor]', ""Add text '[BOATS]' on the image"", 'Change the material of [metal rusty boat] to [wood]']",False,['wooden green boat'],"['wooden green boat', 'wood rusty boat']","['wooden green boat', 'metal rusty boat', 'text', 'wood rusty boat']"
10,1,['count_change'],"['""Change the count of fabric white umbrellas to 3""']","['""Change the count of [fabric white umbrellas] to [3]""']",True,"['plastic white surfboard', 'cotton black shirt', 'synthetic black shorts', 'concrete gray wall']","['plastic white surfboard', 'cotton black shirt', 'synthetic black shorts', 'fabric white umbrellas', 'concrete gray wall']","['plastic white surfboard', 'cotton black shirt', 'synthetic black shorts', 'fabric white umbrellas', 'concrete gray wall']"
10,2,"['count_change', 'color_alter']","['""Change the count of fabric white umbrellas to 3""', 'Change the color of plastic white surfboard to blue']","['""Change the count of [fabric white umbrellas] to [3]""', 'Change the color of [plastic white surfboard] to [blue]']",True,"['cotton black shirt', 'synthetic black shorts', 'concrete gray wall']","['cotton black shirt', 'synthetic black shorts', 'fabric white umbrellas', 'concrete gray wall', 'plastic blue surfboard']","['plastic white surfboard', 'cotton black shirt', 'synthetic black shorts', 'fabric white umbrellas', 'concrete gray wall', 'plastic blue surfboard']"
10,3,"['count_change', 'color_alter', 'material_alter']","['""Change the count of fabric white umbrellas to 3""', 'Change the color of plastic white surfboard to blue', 'Change the material of cotton black shirt to polyester']","['""Change the count of [fabric white umbrellas] to [3]""', 'Change the color of [plastic white surfboard] to [blue]', 'Change the material of [cotton black shirt] to [polyester]']",True,"['synthetic black shorts', 'concrete gray wall']","['synthetic black shorts', 'fabric white umbrellas', 'concrete gray wall', 'plastic blue surfboard', 'polyester black shirt']","['plastic white surfboard', 'cotton black shirt', 'synthetic black shorts', 'fabric white umbrellas', 'concrete gray wall', 'plastic blue surfboard', 'polyester black shirt']"
11,1,['count_change'],"['""Change the count of wooden brown chair to 3""']","['""Change the count of [wooden brown chair] to [3]""']",True,"['fabric gray blanket', 'wooden light brown dresser', 'metal black lamp', 'fabric pink lampshade', 'wooden brown desk', 'plastic white computer', 'wooden brown guitar', 'fabric green chair', 'metal black wire basket']","['wooden brown chair', 'fabric gray blanket', 'wooden light brown dresser', 'metal black lamp', 'fabric pink lampshade', 'wooden brown desk', 'plastic white computer', 'wooden brown guitar', 'fabric green chair', 'metal black wire basket']","['wooden brown chair', 'fabric gray blanket', 'wooden light brown dresser', 'metal black lamp', 'fabric pink lampshade', 'wooden brown desk', 'plastic white computer', 'wooden brown guitar', 'fabric green chair', 'metal black wire basket']"
11,2,"['count_change', 'subject_add']","['""Change the count of wooden brown chair to 3""', 'Add bookshelf on the below of metal black lamp']","['""Change the count of [wooden brown chair] to [3]""', 'Add [bookshelf] on the [below] of [metal black lamp]']",True,"['fabric gray blanket', 'wooden light brown dresser', 'metal black lamp', 'fabric pink lampshade', 'wooden brown desk', 'plastic white computer', 'wooden brown guitar', 'fabric green chair', 'metal black wire basket']","['wooden brown chair', 'fabric gray blanket', 'wooden light brown dresser', 'metal black lamp', 'fabric pink lampshade', 'wooden brown desk', 'plastic white computer', 'wooden brown guitar', 'fabric green chair', 'metal black wire basket', 'bookshelf']","['wooden brown chair', 'fabric gray blanket', 'wooden light brown dresser', 'metal black lamp', 'fabric pink lampshade', 'wooden brown desk', 'plastic white computer', 'wooden brown guitar', 'fabric green chair', 'metal black wire basket', 'bookshelf']"
11,3,"['count_change', 'subject_add', 'position_change']","['""Change the count of wooden brown chair to 3""', 'Add bookshelf on the below of metal black lamp', '""Change the position of wooden brown guitar to left of wooden brown desk""']","['""Change the count of [wooden brown chair] to [3]""', 'Add [bookshelf] on the [below] of [metal black lamp]', '""Change the position of [wooden brown guitar] to [left] of [wooden brown desk]""']",True,"['fabric gray blanket', 'wooden light brown dresser', 'metal black lamp', 'fabric pink lampshade', 'plastic white computer', 'fabric green chair', 'metal black wire basket']","['wooden brown chair', 'fabric gray blanket', 'wooden light brown dresser', 'metal black lamp', 'fabric pink lampshade', 'wooden brown desk', 'plastic white computer', 'wooden brown guitar', 'fabric green chair', 'metal black wire basket', 'bookshelf']","['wooden brown chair', 'fabric gray blanket', 'wooden light brown dresser', 'metal black lamp', 'fabric pink lampshade', 'wooden brown desk', 'plastic white computer', 'wooden brown guitar', 'fabric green chair', 'metal black wire basket', 'bookshelf']"
12,1,['subject_remove'],['Remove glass white streetlight'],['Remove [glass white streetlight]'],True,"['painted multicolor bus', 'brick brown building', 'metal gray street pole']","['painted multicolor bus', 'brick brown building', 'metal gray street pole']","['painted multicolor bus', 'brick brown building', 'metal gray street pole', 'glass white streetlight']"
12,2,"['subject_remove', 'material_alter']","['Remove glass white streetlight', 'Change the material of metal gray street pole to wood']","['Remove [glass white streetlight]', 'Change the material of [metal gray street pole] to [wood]']",True,"['painted multicolor bus', 'brick brown building']","['painted multicolor bus', 'brick brown building', 'wood gray street pole']","['painted multicolor bus', 'brick brown building', 'metal gray street pole', 'glass white streetlight', 'wood gray street pole']"
12,3,"['subject_remove', 'material_alter', 'count_change']","['Remove glass white streetlight', 'Change the material of metal gray street pole to wood', '""Change the count of painted multicolor bus to 4""']","['Remove [glass white streetlight]', 'Change the material of [metal gray street pole] to [wood]', '""Change the count of [painted multicolor bus] to [4]""']",True,['brick brown building'],"['painted multicolor bus', 'brick brown building', 'wood gray street pole']","['painted multicolor bus', 'brick brown building', 'metal gray street pole', 'glass white streetlight', 'wood gray street pole']"
13,1,['count_change'],"['""Change the count of plastic black snowboard to 4""']","['""Change the count of [plastic black snowboard] to [4]""']",True,"['fabric brown jacket', 'fabric beige pants', 'plastic black boots']","['fabric brown jacket', 'fabric beige pants', 'plastic black boots', 'plastic black snowboard']","['fabric brown jacket', 'fabric beige pants', 'plastic black boots', 'plastic black snowboard']"
13,2,"['count_change', 'subject_remove']","['""Change the count of plastic black snowboard to 4""', 'Remove plastic black snowboard']","['""Change the count of [plastic black snowboard] to [4]""', 'Remove [plastic black snowboard]']",True,"['fabric brown jacket', 'fabric beige pants', 'plastic black boots']","['fabric brown jacket', 'fabric beige pants', 'plastic black boots']","['fabric brown jacket', 'fabric beige pants', 'plastic black boots', 'plastic black snowboard']"
13,3,"['count_change', 'subject_remove', 'position_change']","['""Change the count of plastic black snowboard to 4""', 'Remove plastic black snowboard', '""Change the position of fabric brown jacket to above of fabric beige pants""']","['""Change the count of [plastic black snowboard] to [4]""', 'Remove [plastic black snowboard]', '""Change the position of [fabric brown jacket] to [above] of [fabric beige pants]""']",True,['plastic black boots'],"['fabric brown jacket', 'fabric beige pants', 'plastic black boots']","['fabric brown jacket', 'fabric beige pants', 'plastic black boots', 'plastic black snowboard']"
14,1,['color_alter'],['Change the color of metal gray back sign to yellow'],['Change the color of [metal gray back sign] to [yellow]'],True,"['metal gray street pole', 'metal green street sign', 'metal green street sign 2']","['metal gray street pole', 'metal green street sign', 'metal green street sign 2', 'metal yellow back sign']","['metal gray street pole', 'metal green street sign', 'metal green street sign 2', 'metal gray back sign', 'metal yellow back sign']"
14,2,"['color_alter', 'position_change']","['Change the color of metal gray back sign to yellow', '""Change the position of metal yellow back sign to below of metal gray street pole""']","['Change the color of [metal gray back sign] to [yellow]', '""Change the position of [metal yellow back sign] to [below] of [metal gray street pole]""']",True,"['metal green street sign', 'metal green street sign 2']","['metal gray street pole', 'metal green street sign', 'metal green street sign 2', 'metal yellow back sign']","['metal gray street pole', 'metal green street sign', 'metal green street sign 2', 'metal gray back sign', 'metal yellow back sign']"
14,3,"['color_alter', 'position_change', 'material_alter']","['Change the color of metal gray back sign to yellow', '""Change the position of metal yellow back sign to below of metal gray street pole""', 'Change the material of metal gray street pole to wood']","['Change the color of [metal gray back sign] to [yellow]', '""Change the position of [metal yellow back sign] to [below] of [metal gray street pole]""', 'Change the material of [metal gray street pole] to [wood]']",True,"['metal green street sign', 'metal green street sign 2']","['metal green street sign', 'metal green street sign 2', 'metal yellow back sign', 'wood gray street pole']","['metal gray street pole', 'metal green street sign', 'metal green street sign 2', 'metal gray back sign', 'metal yellow back sign', 'wood gray street pole']"
15,1,['position_change'],['Change the position of fabric purple rope belt to below of cotton dark blue shorts.'],['Change the position of [fabric purple rope belt] to [below] of [cotton dark blue shorts].'],True,"['cotton gray shirt', 'fabric black wristband', 'leather black sandals']","['cotton gray shirt', 'fabric purple rope belt', 'cotton dark blue shorts', 'fabric black wristband', 'leather black sandals']","['cotton gray shirt', 'fabric purple rope belt', 'cotton dark blue shorts', 'fabric black wristband', 'leather black sandals']"
15,2,"['position_change', 'subject_replace']","['Change the position of fabric purple rope belt to below of cotton dark blue shorts.', 'Replace fabric purple rope belt with sash']","['Change the position of [fabric purple rope belt] to [below] of [cotton dark blue shorts].', 'Replace [fabric purple rope belt] with [sash]']",True,"['cotton gray shirt', 'fabric black wristband', 'leather black sandals']","['cotton gray shirt', 'cotton dark blue shorts', 'fabric black wristband', 'leather black sandals', 'sash']","['cotton gray shirt', 'fabric purple rope belt', 'cotton dark blue shorts', 'fabric black wristband', 'leather black sandals', 'sash']"
15,3,"['position_change', 'subject_replace', 'material_alter']","['Change the position of fabric purple rope belt to below of cotton dark blue shorts.', 'Replace fabric purple rope belt with sash', 'Change the material of cotton gray shirt to polyester']","['Change the position of [fabric purple rope belt] to [below] of [cotton dark blue shorts].', 'Replace [fabric purple rope belt] with [sash]', 'Change the material of [cotton gray shirt] to [polyester]']",True,"['fabric black wristband', 'leather black sandals']","['cotton dark blue shorts', 'fabric black wristband', 'leather black sandals', 'sash', 'polyester gray shirt']","['cotton gray shirt', 'fabric purple rope belt', 'cotton dark blue shorts', 'fabric black wristband', 'leather black sandals', 'sash', 'polyester gray shirt']"
16,1,['subject_add'],['Add plant on the left of linen gray shirt'],['Add [plant] on the [left] of [linen gray shirt]'],True,"['linen gray shirt', 'cotton white shorts', 'metal gray railing']","['linen gray shirt', 'cotton white shorts', 'metal gray railing', 'plant']","['linen gray shirt', 'cotton white shorts', 'metal gray railing', 'plant']"
16,2,"['subject_add', 'subject_replace']","['Add plant on the left of linen gray shirt', 'Replace metal gray railing with wooden railing']","['Add [plant] on the [left] of [linen gray shirt]', 'Replace [metal gray railing] with [wooden railing]']",True,"['linen gray shirt', 'cotton white shorts']","['linen gray shirt', 'cotton white shorts', 'plant', 'wooden railing']","['linen gray shirt', 'cotton white shorts', 'metal gray railing', 'plant', 'wooden railing']"
16,3,"['subject_add', 'subject_replace', 'count_change']","['Add plant on the left of linen gray shirt', 'Replace metal gray railing with wooden railing', 'Change the count of plant to 5']","['Add [plant] on the [left] of [linen gray shirt]', 'Replace [metal gray railing] with [wooden railing]', 'Change the count of [plant] to [5]']",True,"['linen gray shirt', 'cotton white shorts']","['linen gray shirt', 'cotton white shorts', 'plant', 'wooden railing']","['linen gray shirt', 'cotton white shorts', 'metal gray railing', 'plant', 'wooden railing']"
17,1,['position_change'],"['""Change the position of metal black glasses frame to right of cotton white shirt""']","['""Change the position of [metal black glasses frame] to [right] of [cotton white shirt]""']",True,[],"['cotton white shirt', 'metal black glasses frame']","['cotton white shirt', 'metal black glasses frame']"
17,2,"['position_change', 'subject_remove']","['""Change the position of metal black glasses frame to right of cotton white shirt""', 'Remove metal black glasses frame']","['""Change the position of [metal black glasses frame] to [right] of [cotton white shirt]""', 'Remove [metal black glasses frame]']",True,[],['cotton white shirt'],"['cotton white shirt', 'metal black glasses frame']"
17,3,"['position_change', 'subject_remove', 'subject_add']","['""Change the position of metal black glasses frame to right of cotton white shirt""', 'Remove metal black glasses frame', 'Add tie on the above of cotton white shirt']","['""Change the position of [metal black glasses frame] to [right] of [cotton white shirt]""', 'Remove [metal black glasses frame]', 'Add [tie] on the [above] of [cotton white shirt]']",True,[],"['cotton white shirt', 'tie']","['cotton white shirt', 'metal black glasses frame', 'tie']"
18,1,['count_change'],['Change the count of black string necklace to 3'],['Change the count of [black string necklace] to [3]'],True,['cotton white shirt'],"['cotton white shirt', 'black string necklace']","['cotton white shirt', 'black string necklace']"
18,2,"['count_change', 'position_change']","['Change the count of black string necklace to 3', '""Change the position of black string necklace to below of cotton white shirt""']","['Change the count of [black string necklace] to [3]', '""Change the position of [black string necklace] to [below] of [cotton white shirt]""']",True,[],"['cotton white shirt', 'black string necklace']","['cotton white shirt', 'black string necklace']"
18,3,"['count_change', 'position_change', 'text_change']","['Change the count of black string necklace to 3', '""Change the position of black string necklace to below of cotton white shirt""', ""Add text 'CALM' on the image""]","['Change the count of [black string necklace] to [3]', '""Change the position of [black string necklace] to [below] of [cotton white shirt]""', ""Add text '[CALM]' on the image""]",True,[],"['cotton white shirt', 'black string necklace']","['cotton white shirt', 'black string necklace', 'text']"
19,1,['count_change'],['Change the count of plastic yellow minion figure to 5'],['Change the count of [plastic yellow minion figure] to [5]'],True,"['plastic red and white lifebuoy', 'plastic blue overalls', 'plastic silver goggles']","['plastic yellow minion figure', 'plastic red and white lifebuoy', 'plastic blue overalls', 'plastic silver goggles']","['plastic yellow minion figure', 'plastic red and white lifebuoy', 'plastic blue overalls', 'plastic silver goggles']"
19,2,"['count_change', 'position_change']","['Change the count of plastic yellow minion figure to 5', '""Change the position of plastic yellow minion figure to above of plastic red and white lifebuoy""']","['Change the count of [plastic yellow minion figure] to [5]', '""Change the position of [plastic yellow minion figure] to [above] of [plastic red and white lifebuoy]""']",True,"['plastic blue overalls', 'plastic silver goggles']","['plastic yellow minion figure', 'plastic red and white lifebuoy', 'plastic blue overalls', 'plastic silver goggles']","['plastic yellow minion figure', 'plastic red and white lifebuoy', 'plastic blue overalls', 'plastic silver goggles']"
19,3,"['count_change', 'position_change', 'subject_add']","['Change the count of plastic yellow minion figure to 5', '""Change the position of plastic yellow minion figure to above of plastic red and white lifebuoy""', 'Add beach umbrella on the above of plastic yellow minion figure']","['Change the count of [plastic yellow minion figure] to [5]', '""Change the position of [plastic yellow minion figure] to [above] of [plastic red and white lifebuoy]""', 'Add [beach umbrella] on the [above] of [plastic yellow minion figure]']",True,"['plastic blue overalls', 'plastic silver goggles']","['plastic yellow minion figure', 'plastic red and white lifebuoy', 'plastic blue overalls', 'plastic silver goggles', 'beach umbrella']","['plastic yellow minion figure', 'plastic red and white lifebuoy', 'plastic blue overalls', 'plastic silver goggles', 'beach umbrella']"
20,1,['material_alter'],['Change the material of ceramic white pot to glass'],['Change the material of [ceramic white pot] to [glass]'],True,"['cotton blue top', 'cotton gray leggings', 'metallic silver watch', 'ceramic white vase', 'pink flowers', 'wooden beige door', 'wooden white cabinet']","['cotton blue top', 'cotton gray leggings', 'metallic silver watch', 'ceramic white vase', 'pink flowers', 'wooden beige door', 'wooden white cabinet', 'glass white pot']","['cotton blue top', 'cotton gray leggings', 'metallic silver watch', 'ceramic white vase', 'pink flowers', 'wooden beige door', 'wooden white cabinet', 'ceramic white pot', 'glass white pot']"
20,2,"['material_alter', 'subject_replace']","['Change the material of ceramic white pot to glass', 'Replace wooden white cabinet with shelf']","['Change the material of [ceramic white pot] to [glass]', 'Replace [wooden white cabinet] with [shelf]']",True,"['cotton blue top', 'cotton gray leggings', 'metallic silver watch', 'ceramic white vase', 'pink flowers', 'wooden beige door']","['cotton blue top', 'cotton gray leggings', 'metallic silver watch', 'ceramic white vase', 'pink flowers', 'wooden beige door', 'glass white pot', 'shelf']","['cotton blue top', 'cotton gray leggings', 'metallic silver watch', 'ceramic white vase', 'pink flowers', 'wooden beige door', 'wooden white cabinet', 'ceramic white pot', 'glass white pot', 'shelf']"
20,3,"['material_alter', 'subject_replace', 'subject_add']","['Change the material of ceramic white pot to glass', 'Replace wooden white cabinet with shelf', 'Add small table on the below of ceramic white vase']","['Change the material of [ceramic white pot] to [glass]', 'Replace [wooden white cabinet] with [shelf]', 'Add [small table] on the [below] of [ceramic white vase]']",True,"['cotton blue top', 'cotton gray leggings', 'metallic silver watch', 'ceramic white vase', 'pink flowers', 'wooden beige door']","['cotton blue top', 'cotton gray leggings', 'metallic silver watch', 'ceramic white vase', 'pink flowers', 'wooden beige door', 'glass white pot', 'shelf', 'small table']","['cotton blue top', 'cotton gray leggings', 'metallic silver watch', 'ceramic white vase', 'pink flowers', 'wooden beige door', 'wooden white cabinet', 'ceramic white pot', 'glass white pot', 'shelf', 'small table']"
21,1,['subject_remove'],['Remove fabric white sneakers'],['Remove [fabric white sneakers]'],True,"['leather black jacket', 'fabric black pants', 'paper brown bag', 'knit black beanie']","['leather black jacket', 'fabric black pants', 'paper brown bag', 'knit black beanie']","['leather black jacket', 'fabric black pants', 'fabric white sneakers', 'paper brown bag', 'knit black beanie']"
21,2,"['subject_remove', 'background_change']","['Remove fabric white sneakers', 'Change the background to park, remain the leather black jacket, fabric black pants, paper brown bag, knit black beanie unchanged']","['Remove [fabric white sneakers]', 'Change the background to [park]']",False,"['leather black jacket', 'fabric black pants', 'paper brown bag', 'knit black beanie']","['leather black jacket', 'fabric black pants', 'paper brown bag', 'knit black beanie']","['leather black jacket', 'fabric black pants', 'fabric white sneakers', 'paper brown bag', 'knit black beanie']"
